Cod_Prov;Mes;Cantidad de Unidades;Producto
BUE;ene-23;6782;MF001
BUE;feb-23;11080;MF001
BUE;mar-23;17994;MF001
BUE;abr-23;34340;MF001
BUE;may-23;28825;MF001
BUE;jun-23;48054;MF001
BUE;jul-23;86016;MF001
BUE;ago-23;103320;MF001
BUE;sep-23;133479;MF001
BUE;oct-23;120910;MF001
BUE;nov-23;57486;MF001
BUE;dic-23;94788;MF001
CAT;ene-23;666;MF001
CAT;feb-23;1442;MF001
CAT;mar-23;4059;MF001
CAT;abr-23;4756;MF001
CAT;may-23;2545;MF001
CAT;jun-23;3336;MF001
CAT;jul-23;6790;MF001
CAT;ago-23;8736;MF001
CAT;sep-23;5400;MF001
CAT;oct-23;12610;MF001
CAT;nov-23;10241;MF001
CAT;dic-23;6408;MF001
CHA;ene-23;74;MF001
CHA;feb-23;134;MF001
CHA;mar-23;327;MF001
CHA;abr-23;216;MF001
CHA;may-23;335;MF001
CHA;jun-23;894;MF001
CHA;jul-23;938;MF001
CHA;ago-23;1008;MF001
CHA;sep-23;1296;MF001
CHA;oct-23;1490;MF001
CHA;nov-23;836;MF001
CHA;dic-23;1380;MF001
CHU;ene-23;1398;MF001
CHU;feb-23;2642;MF001
CHU;mar-23;3627;MF001
CHU;abr-23;4748;MF001
CHU;may-23;6935;MF001
CHU;jun-23;7812;MF001
CHU;jul-23;10458;MF001
CHU;ago-23;11264;MF001
CHU;sep-23;12051;MF001
CHU;oct-23;11640;MF001
CHU;nov-23;15059;MF001
CHU;dic-23;12672;MF001
COR;ene-23;14025;MF001
COR;feb-23;28930;MF001
COR;mar-23;44187;MF001
COR;abr-23;61292;MF001
COR;may-23;62645;MF001
COR;jun-23;80190;MF001
COR;jul-23;115038;MF001
COR;ago-23;120560;MF001
COR;sep-23;135828;MF001
COR;oct-23;144320;MF001
COR;nov-23;128865;MF001
COR;dic-23;193116;MF001
CRR;ene-23;146;MF001
CRR;feb-23;272;MF001
CRR;mar-23;375;MF001
CRR;abr-23;480;MF001
CRR;may-23;710;MF001
CRR;jun-23;786;MF001
CRR;jul-23;945;MF001
CRR;ago-23;808;MF001
CRR;sep-23;1260;MF001
CRR;oct-23;1400;MF001
CRR;nov-23;1210;MF001
CRR;dic-23;1788;MF001
ERI;ene-23;144;MF001
ERI;feb-23;288;MF001
ERI;mar-23;309;MF001
ERI;abr-23;412;MF001
ERI;may-23;550;MF001
ERI;jun-23;648;MF001
ERI;jul-23;945;MF001
ERI;ago-23;816;MF001
ERI;sep-23;1269;MF001
ERI;oct-23;1330;MF001
ERI;nov-23;1386;MF001
ERI;dic-23;1452;MF001
FOR;ene-23;140;MF001
FOR;feb-23;266;MF001
FOR;mar-23;306;MF001
FOR;abr-23;520;MF001
FOR;may-23;690;MF001
FOR;jun-23;828;MF001
FOR;jul-23;952;MF001
FOR;ago-23;976;MF001
FOR;sep-23;1098;MF001
FOR;oct-23;1420;MF001
FOR;nov-23;1584;MF001
FOR;dic-23;1488;MF001
JUJ;ene-23;127;MF001
JUJ;feb-23;214;MF001
JUJ;mar-23;234;MF001
JUJ;abr-23;600;MF001
JUJ;may-23;200;MF001
JUJ;jun-23;822;MF001
JUJ;jul-23;238;MF001
JUJ;ago-23;1080;MF001
JUJ;sep-23;1305;MF001
JUJ;oct-23;1280;MF001
JUJ;nov-23;1441;MF001
JUJ;dic-23;408;MF001
LPA;ene-23;1195;MF001
LPA;feb-23;2128;MF001
LPA;mar-23;3456;MF001
LPA;abr-23;4212;MF001
LPA;may-23;5015;MF001
LPA;jun-23;6168;MF001
LPA;jul-23;9569;MF001
LPA;ago-23;10848;MF001
LPA;sep-23;11844;MF001
LPA;oct-23;11400;MF001
LPA;nov-23;13860;MF001
LPA;dic-23;16704;MF001
LRI;ene-23;156;MF001
LRI;feb-23;2284;MF001
LRI;mar-23;1698;MF001
LRI;abr-23;1308;MF001
LRI;may-23;2880;MF001
LRI;jun-23;4086;MF001
LRI;jul-23;3850;MF001
LRI;ago-23;4288;MF001
LRI;sep-23;6084;MF001
LRI;oct-23;2060;MF001
LRI;nov-23;8723;MF001
LRI;dic-23;4740;MF001
MEN;ene-23;6420;MF001
MEN;feb-23;24108;MF001
MEN;mar-23;37524;MF001
